------------train
------------train
1
0
it: 21400/80000, lr: 0.007643, loss: 3.2710, eta: 18:40:28, time: 111.4806
it: 21500/80000, lr: 0.007631, loss: 3.1639, eta: 18:38:25, time: 111.8677
it: 21600/80000, lr: 0.007619, loss: 3.2313, eta: 18:36:47, time: 120.8114
it: 21700/80000, lr: 0.007608, loss: 3.1606, eta: 18:34:43, time: 111.1291
it: 21800/80000, lr: 0.007596, loss: 3.2480, eta: 18:32:40, time: 111.6405
it: 21900/80000, lr: 0.007584, loss: 3.2193, eta: 18:30:37, time: 111.6035
it: 22000/80000, lr: 0.007572, loss: 3.2251, eta: 18:29:01, time: 121.7250
it: 22100/80000, lr: 0.007561, loss: 3.2376, eta: 18:26:58, time: 111.6109
it: 22200/80000, lr: 0.007549, loss: 3.1609, eta: 18:24:55, time: 111.6792
it: 22300/80000, lr: 0.007537, loss: 3.1787, eta: 18:22:52, time: 111.4974
it: 22400/80000, lr: 0.007525, loss: 3.1753, eta: 18:21:15, time: 121.5325
it: 22500/80000, lr: 0.007514, loss: 3.2859, eta: 18:19:12, time: 111.4608
it: 22600/80000, lr: 0.007502, loss: 3.2484, eta: 18:17:09, time: 111.2502
it: 22700/80000, lr: 0.007490, loss: 3.2371, eta: 18:15:30, time: 121.0606
it: 22800/80000, lr: 0.007478, loss: 3.2694, eta: 18:13:24, time: 110.1457
it: 22900/80000, lr: 0.007466, loss: 3.1007, eta: 18:11:21, time: 111.3274
it: 23000/80000, lr: 0.007455, loss: 3.2153, eta: 18:09:17, time: 110.8720
it: 23100/80000, lr: 0.007443, loss: 3.1471, eta: 18:07:32, time: 118.8061
it: 23200/80000, lr: 0.007431, loss: 3.2426, eta: 18:05:28, time: 110.7291
it: 23300/80000, lr: 0.007419, loss: 3.1432, eta: 18:03:25, time: 111.1703
it: 23400/80000, lr: 0.007408, loss: 3.1647, eta: 18:01:21, time: 111.0171
it: 23500/80000, lr: 0.007396, loss: 3.1739, eta: 17:59:38, time: 119.2733
it: 23600/80000, lr: 0.007384, loss: 3.1909, eta: 17:57:33, time: 110.5694
it: 23700/80000, lr: 0.007372, loss: 3.2206, eta: 17:55:30, time: 110.8435
it: 23800/80000, lr: 0.007360, loss: 3.1753, eta: 17:53:26, time: 110.9085
it: 23900/80000, lr: 0.007349, loss: 3.1924, eta: 17:51:43, time: 119.4088
it: 24000/80000, lr: 0.007337, loss: 3.1533, eta: 17:49:40, time: 111.1576
it: 24100/80000, lr: 0.007325, loss: 3.2251, eta: 17:47:37, time: 110.9459
it: 24200/80000, lr: 0.007313, loss: 3.1859, eta: 17:45:51, time: 118.0637
it: 24300/80000, lr: 0.007302, loss: 3.1264, eta: 17:43:47, time: 110.4821
it: 24400/80000, lr: 0.007290, loss: 3.1548, eta: 17:41:43, time: 110.7684
it: 24500/80000, lr: 0.007278, loss: 3.1728, eta: 17:39:41, time: 111.3042
it: 24600/80000, lr: 0.007266, loss: 3.1590, eta: 17:37:56, time: 118.5811
it: 24700/80000, lr: 0.007254, loss: 3.2007, eta: 17:35:52, time: 110.6082
it: 24800/80000, lr: 0.007242, loss: 3.1470, eta: 17:33:50, time: 111.0971
it: 24900/80000, lr: 0.007231, loss: 3.2317, eta: 17:31:48, time: 111.0781
it: 25000/80000, lr: 0.007219, loss: 3.2157, eta: 17:30:03, time: 118.9261
it: 25100/80000, lr: 0.007207, loss: 3.3036, eta: 17:28:02, time: 111.5421
it: 25200/80000, lr: 0.007195, loss: 3.1872, eta: 17:26:01, time: 111.3653
it: 25300/80000, lr: 0.007183, loss: 3.2245, eta: 17:24:19, time: 120.3831
it: 25400/80000, lr: 0.007172, loss: 3.1688, eta: 17:22:15, time: 110.5212
it: 25500/80000, lr: 0.007160, loss: 3.2145, eta: 17:20:15, time: 111.5430
it: 25600/80000, lr: 0.007148, loss: 3.1544, eta: 17:18:13, time: 111.1313
it: 25700/80000, lr: 0.007136, loss: 3.1290, eta: 17:16:26, time: 118.1984
it: 25800/80000, lr: 0.007124, loss: 3.1834, eta: 17:14:23, time: 110.3484
it: 25900/80000, lr: 0.007112, loss: 3.1524, eta: 17:12:21, time: 110.9052
it: 26000/80000, lr: 0.007101, loss: 3.1523, eta: 17:10:20, time: 111.2377
it: 26100/80000, lr: 0.007089, loss: 3.1662, eta: 17:08:33, time: 118.5177
it: 26200/80000, lr: 0.007077, loss: 3.1945, eta: 17:06:32, time: 111.1906
it: 26300/80000, lr: 0.007065, loss: 3.1536, eta: 17:04:32, time: 111.4803
it: 26400/80000, lr: 0.007053, loss: 3.2006, eta: 17:02:31, time: 111.2796
it: 26500/80000, lr: 0.007041, loss: 3.1720, eta: 17:00:47, time: 119.6169
it: 26600/80000, lr: 0.007030, loss: 3.2056, eta: 16:58:46, time: 111.5390
it: 26700/80000, lr: 0.007018, loss: 3.1496, eta: 16:56:45, time: 111.3197
it: 26800/80000, lr: 0.007006, loss: 3.1916, eta: 16:55:04, time: 120.9483
it: 26900/80000, lr: 0.006994, loss: 3.1780, eta: 16:53:02, time: 110.7071
it: 27000/80000, lr: 0.006982, loss: 3.2379, eta: 16:51:02, time: 111.7562
it: 27100/80000, lr: 0.006970, loss: 3.1785, eta: 16:49:02, time: 111.3262
it: 27200/80000, lr: 0.006958, loss: 3.1540, eta: 16:47:17, time: 119.5064
it: 27300/80000, lr: 0.006947, loss: 3.3132, eta: 16:45:16, time: 111.1933
it: 27400/80000, lr: 0.006935, loss: 3.2554, eta: 16:43:16, time: 111.4270
it: 27500/80000, lr: 0.006923, loss: 3.1978, eta: 16:41:16, time: 111.4091
it: 27600/80000, lr: 0.006911, loss: 3.2758, eta: 16:39:32, time: 120.3396
it: 27700/80000, lr: 0.006899, loss: 3.1482, eta: 16:37:33, time: 111.6247
it: 27800/80000, lr: 0.006887, loss: 3.2206, eta: 16:35:33, time: 111.5004
it: 27900/80000, lr: 0.006875, loss: 3.1821, eta: 16:33:32, time: 111.1051
it: 28000/80000, lr: 0.006864, loss: 3.3118, eta: 16:31:48, time: 119.8213
it: 28100/80000, lr: 0.006852, loss: 3.1446, eta: 16:29:48, time: 111.4677
it: 28200/80000, lr: 0.006840, loss: 3.0899, eta: 16:27:47, time: 111.0268
it: 28300/80000, lr: 0.006828, loss: 3.1291, eta: 16:26:03, time: 120.0528
it: 28400/80000, lr: 0.006816, loss: 3.1373, eta: 16:24:02, time: 110.8805
it: 28500/80000, lr: 0.006804, loss: 3.1326, eta: 16:22:02, time: 111.3000
it: 28600/80000, lr: 0.006792, loss: 3.1390, eta: 16:20:02, time: 111.4102
it: 28700/80000, lr: 0.006780, loss: 3.1387, eta: 16:18:17, time: 119.3587
it: 28800/80000, lr: 0.006768, loss: 3.2353, eta: 16:16:17, time: 111.3103
it: 28900/80000, lr: 0.006757, loss: 3.1858, eta: 16:14:18, time: 111.8181
it: 29000/80000, lr: 0.006745, loss: 3.1173, eta: 16:12:18, time: 111.1692
it: 29100/80000, lr: 0.006733, loss: 3.1835, eta: 16:10:37, time: 122.0431
it: 29200/80000, lr: 0.006721, loss: 3.2080, eta: 16:08:37, time: 111.2792
it: 29300/80000, lr: 0.006709, loss: 3.0838, eta: 16:06:38, time: 111.6747
it: 29400/80000, lr: 0.006697, loss: 3.3431, eta: 16:04:55, time: 121.3382
it: 29500/80000, lr: 0.006685, loss: 3.1598, eta: 16:02:55, time: 110.7413
it: 29600/80000, lr: 0.006673, loss: 3.1584, eta: 16:00:56, time: 111.7518
it: 29700/80000, lr: 0.006661, loss: 3.1080, eta: 15:58:55, time: 110.6434
it: 29800/80000, lr: 0.006649, loss: 3.1155, eta: 15:57:11, time: 120.6053
it: 29900/80000, lr: 0.006637, loss: 3.0797, eta: 15:55:10, time: 110.6997
it: 30000/80000, lr: 0.006625, loss: 3.0941, eta: 15:53:11, time: 111.1593
it: 30100/80000, lr: 0.006614, loss: 3.0949, eta: 15:51:11, time: 111.0183
it: 30200/80000, lr: 0.006602, loss: 3.0424, eta: 15:49:26, time: 120.5052
