------------train
------------train
1
0
it: 16800/80000, lr: 0.008181, loss: 3.1365, eta: 10:28:34, time: 68.0346
it: 16900/80000, lr: 0.008169, loss: 3.2082, eta: 10:27:33, time: 59.2268
it: 17000/80000, lr: 0.008157, loss: 3.2506, eta: 10:26:17, time: 55.2017
it: 17100/80000, lr: 0.008146, loss: 3.2363, eta: 10:25:08, time: 57.1059
it: 17200/80000, lr: 0.008134, loss: 3.1264, eta: 10:24:39, time: 68.0625
it: 17300/80000, lr: 0.008122, loss: 3.3507, eta: 10:23:38, time: 59.2659
it: 17400/80000, lr: 0.008111, loss: 3.1222, eta: 10:22:21, time: 54.9171
it: 17500/80000, lr: 0.008099, loss: 3.1916, eta: 10:21:35, time: 63.6461
it: 17600/80000, lr: 0.008087, loss: 3.1306, eta: 10:20:45, time: 62.3528
it: 17700/80000, lr: 0.008076, loss: 3.1174, eta: 10:19:43, time: 59.0518
it: 17800/80000, lr: 0.008064, loss: 3.2487, eta: 10:18:29, time: 55.4110
it: 17900/80000, lr: 0.008052, loss: 3.2115, eta: 10:17:55, time: 67.2478
it: 18000/80000, lr: 0.008041, loss: 3.1904, eta: 10:17:07, time: 63.0225
it: 18100/80000, lr: 0.008029, loss: 3.2310, eta: 10:16:05, time: 59.0224
it: 18200/80000, lr: 0.008017, loss: 3.3056, eta: 10:14:52, time: 55.6486
it: 18300/80000, lr: 0.008006, loss: 3.2188, eta: 10:14:01, time: 62.3590
it: 18400/80000, lr: 0.007994, loss: 3.1394, eta: 10:12:46, time: 55.0712
it: 18500/80000, lr: 0.007982, loss: 3.1042, eta: 10:11:37, time: 56.9020
it: 18600/80000, lr: 0.007971, loss: 3.2925, eta: 10:10:41, time: 60.7701
it: 18700/80000, lr: 0.007959, loss: 3.2246, eta: 10:09:58, time: 64.7688
it: 18800/80000, lr: 0.007947, loss: 3.1126, eta: 10:08:42, time: 54.9335
it: 18900/80000, lr: 0.007936, loss: 3.0941, eta: 10:07:40, time: 58.6774
it: 19000/80000, lr: 0.007924, loss: 3.3179, eta: 10:07:03, time: 66.8122
it: 19100/80000, lr: 0.007912, loss: 3.1389, eta: 10:05:59, time: 58.4870
it: 19200/80000, lr: 0.007901, loss: 3.1760, eta: 10:04:46, time: 55.3301
it: 19300/80000, lr: 0.007889, loss: 3.1279, eta: 10:03:47, time: 59.9832
it: 19400/80000, lr: 0.007877, loss: 3.1380, eta: 10:03:11, time: 67.3176
it: 19500/80000, lr: 0.007865, loss: 3.1094, eta: 10:01:58, time: 55.3038
it: 19600/80000, lr: 0.007854, loss: 3.2317, eta: 10:00:48, time: 56.4389
it: 19700/80000, lr: 0.007842, loss: 3.1047, eta: 9:59:57, time: 62.6525
it: 19800/80000, lr: 0.007830, loss: 3.2115, eta: 9:59:17, time: 66.1499
it: 19900/80000, lr: 0.007819, loss: 3.1758, eta: 9:58:04, time: 55.2908
it: 20000/80000, lr: 0.007807, loss: 3.1663, eta: 9:57:03, time: 59.3410
it: 20100/80000, lr: 0.007795, loss: 3.1176, eta: 9:56:29, time: 68.2123
it: 20200/80000, lr: 0.007783, loss: 3.2697, eta: 9:55:17, time: 55.6940
it: 20300/80000, lr: 0.007772, loss: 3.1669, eta: 9:54:09, time: 56.9633
it: 20400/80000, lr: 0.007760, loss: 3.3395, eta: 9:53:20, time: 63.1741
it: 20500/80000, lr: 0.007748, loss: 3.1593, eta: 9:52:37, time: 65.6512
it: 20600/80000, lr: 0.007737, loss: 3.1114, eta: 9:51:24, time: 55.0013
it: 20700/80000, lr: 0.007725, loss: 3.1989, eta: 9:50:23, time: 59.3793
it: 20800/80000, lr: 0.007713, loss: 3.2899, eta: 9:49:34, time: 63.5133
it: 20900/80000, lr: 0.007701, loss: 3.1189, eta: 9:48:36, time: 60.4507
it: 21000/80000, lr: 0.007690, loss: 3.2290, eta: 9:47:26, time: 55.9534
it: 21100/80000, lr: 0.007678, loss: 3.1825, eta: 9:46:36, time: 63.4432
it: 21200/80000, lr: 0.007666, loss: 3.2999, eta: 9:45:34, time: 58.6844
it: 21300/80000, lr: 0.007654, loss: 3.1869, eta: 9:44:32, time: 59.2291
it: 21400/80000, lr: 0.007643, loss: 3.0822, eta: 9:43:35, time: 60.6807
it: 21500/80000, lr: 0.007631, loss: 3.0942, eta: 9:42:42, time: 62.3055
it: 21600/80000, lr: 0.007619, loss: 3.1175, eta: 9:41:45, time: 60.5545
it: 21700/80000, lr: 0.007608, loss: 3.1945, eta: 9:40:31, time: 54.7327
it: 21800/80000, lr: 0.007596, loss: 3.1438, eta: 9:39:36, time: 61.5007
it: 21900/80000, lr: 0.007584, loss: 3.1346, eta: 9:38:36, time: 59.6100
it: 22000/80000, lr: 0.007572, loss: 3.0967, eta: 9:37:35, time: 59.0876
it: 22100/80000, lr: 0.007561, loss: 3.1487, eta: 9:36:26, time: 56.4255
it: 22200/80000, lr: 0.007549, loss: 3.1632, eta: 9:35:36, time: 63.4042
it: 22300/80000, lr: 0.007537, loss: 3.1577, eta: 9:34:38, time: 60.2354
it: 22400/80000, lr: 0.007525, loss: 3.0400, eta: 9:33:37, time: 59.5923
it: 22500/80000, lr: 0.007514, loss: 3.1448, eta: 9:32:32, time: 57.5854
it: 22600/80000, lr: 0.007502, loss: 3.0635, eta: 9:31:42, time: 63.6624
it: 22700/80000, lr: 0.007490, loss: 3.0564, eta: 9:30:48, time: 61.9501
it: 22800/80000, lr: 0.007478, loss: 3.1332, eta: 9:29:38, time: 55.6881
it: 22900/80000, lr: 0.007466, loss: 3.0599, eta: 9:28:49, time: 64.0845
it: 23000/80000, lr: 0.007455, loss: 3.0763, eta: 9:28:00, time: 63.9490
it: 23100/80000, lr: 0.007443, loss: 3.0706, eta: 9:27:05, time: 61.9934
it: 23200/80000, lr: 0.007431, loss: 3.1888, eta: 9:25:57, time: 56.3891
it: 23300/80000, lr: 0.007419, loss: 3.0428, eta: 9:25:10, time: 64.8307
